Neurons,Accuracy_Train,Accuracy_Test
800,0.9177777777777778,0.865
1000,0.9261111111111111,0.87
1200,0.9355555555555556,0.895
1500,0.9422222222222222,0.88
2000,0.9566666666666667,0.86
1100,0.93,0.89
1150,0.9311111111111111,0.88
1250,0.9327777777777778,0.88
1300,0.9377777777777778,0.89
1350,0.9383333333333334,0.88


