Model Number,L,R,I_DC_Vortex,rango_I_in,I_th,T_relax,Accuracy_Train,Accuracy_Test
1,2e-09,5e-08,0.00375,4,0.0001829945587396012,4.416495590703047e-11,0.9273472429210134,0.8933333333333333
2,2e-09,5.25e-08,0.00375,4,0.00020175150101041036,4.894926144019676e-11,0.9236214605067065,0.9066666666666666
3,2e-09,5.4999999999999996e-08,0.00375,4,0.00022142341607491744,5.402159411497843e-11,0.9310730253353204,0.9066666666666666
4,2e-09,5.75e-08,0.00375,4,0.0002420103039331226,5.939076846000061e-11,0.9314456035767511,0.9066666666666666
5,2e-09,6e-08,0.00375,4,0.0002635121645850257,6.506626997627252e-11,0.9321907600596125,0.89
6,2e-09,6.25e-08,0.00375,4,0.0002859289980306269,7.105830012931386e-11,0.9336810730253353,0.9
7,2e-09,6.5e-08,0.00375,4,0.000309260804269926,7.73778258482506e-11,0.9344262295081968,0.9066666666666666
8,2e-09,6.75e-08,0.00375,4,0.00033350758330292325,8.403663400881892e-11,0.9307004470938898,0.88
9,2e-09,6.999999999999999e-08,0.00375,4,0.00035866933512961833,9.104739143956989e-11,0.922876304023845,0.8933333333333333
10,2e-09,7.25e-08,0.00375,4,0.00038474605975001157,9.842371106194311e-11,0.9143070044709389,0.8833333333333333
11,2e-09,7.5e-08,0.00375,4,0.0004117377571641027,1.0618022485676296e-10,0.9217585692995529,0.89
12,2e-09,7.75e-08,0.00375,4,0.0004396444273718919,1.1433266444389016e-10,0.9124441132637854,0.8666666666666667
13,2e-09,8e-08,0.00375,4,0.00046846607037337906,1.228979501703339e-10,0.9061102831594635,0.8766666666666667
14,2e-09,8.25e-08,0.00375,4,0.0004982026861685643,1.318942897276079e-10,0.8982861400894188,0.8533333333333334
15,2e-09,8.500000000000001e-08,0.00375,4,0.0005288542747574476,1.4134128746449461e-10,0.8979135618479881,0.87
16,2e-09,8.75e-08,0.00375,4,0.0005604208361400286,1.5126006573025074e-10,0.8934426229508197,0.8433333333333334
17,2e-09,9e-08,0.00375,4,0.000592902370316308,1.616733997799635e-10,0.8714605067064084,0.8333333333333334
18,2e-09,9.25e-08,0.00375,4,0.0006262988772862852,1.7260586800344066e-10,0.8643815201192251,0.83
19,2e-09,9.499999999999999e-08,0.00375,4,0.0006606103570499602,1.8408401950798622e-10,0.8386736214605067,0.78
20,2e-09,9.749999999999999e-08,0.00375,4,0.0006958368096073336,1.9613656140129164e-10,0.7429210134128167,0.66
21,2e-09,1e-07,0.00375,4,0.0007319782349584048,2.0879456849275845e-10,0.7563338301043219,0.6666666666666666
22,3e-09,5e-08,0.00375,4,0.00027449183810940173,6.799148384723121e-11,0.9307004470938898,0.87
23,3e-09,5.25e-08,0.00375,4,0.00030262725151561555,7.557239502524913e-11,0.9318181818181818,0.8866666666666667
24,3e-09,5.4999999999999996e-08,0.00375,4,0.0003321351241123761,8.365719781604026e-11,0.9269746646795827,0.8766666666666667
25,3e-09,5.75e-08,0.00375,4,0.00036301545589968384,9.226889040374304e-11,0.9213859910581222,0.89
26,3e-09,6e-08,0.00375,4,0.00039526824687753854,1.0143259228861791e-10,0.9102086438152012,0.8633333333333333
27,3e-09,6.25e-08,0.00375,4,0.0004288934970459403,1.1117574671645402e-10,0.9146795827123696,0.8866666666666667
28,3e-09,6.5e-08,0.00375,4,0.000463891206404889,1.2152834933312398e-10,0.9076005961251863,0.89
29,3e-09,6.75e-08,0.00375,4,0.0005002613749543848,1.3252320691414718e-10,0.9027570789865872,0.8733333333333333
