Model Number,L,R,I_DC_Vortex,rango_I_in,I_th,T_relax,Accuracy_Train,Accuracy_Test
1,2e-09,5e-08,0.002,4,0.0001829945587396012,8.670124725885527e-11,0.930327868852459,0.91
2,2e-09,5.25e-08,0.002,4,0.00020175150101041036,9.658517358942203e-11,0.9225037257824144,0.89
3,2e-09,5.4999999999999996e-08,0.002,4,0.00022142341607491744,1.0717521738633619e-10,0.9314456035767511,0.9066666666666666
4,2e-09,5.75e-08,0.002,4,0.0002420103039331226,1.1851161827927463e-10,0.9280923994038748,0.9
5,2e-09,6e-08,0.002,4,0.0002635121645850257,1.3063884131033312e-10,0.9307004470938898,0.8866666666666667
6,2e-09,6.25e-08,0.002,4,0.0002859289980306269,1.436060680359091e-10,0.9336810730253353,0.8866666666666667
7,2e-09,6.5e-08,0.002,4,0.000309260804269926,1.5746776259095857e-10,0.9321907600596125,0.89
8,2e-09,6.75e-08,0.002,4,0.00033350758330292325,1.7228432601266763e-10,0.9292101341281669,0.8866666666666667
9,2e-09,6.999999999999999e-08,0.002,4,0.00035866933512961833,1.8812285492140886e-10,0.9232488822652757,0.8866666666666667
10,2e-09,7.25e-08,0.002,4,0.00038474605975001157,2.0505802413580135e-10,0.9124441132637854,0.8733333333333333
11,2e-09,7.5e-08,0.002,4,0.0004117377571641027,2.231731171435904e-10,0.9217585692995529,0.8866666666666667
12,2e-09,7.75e-08,0.002,4,0.0004396444273718919,2.425612338076085e-10,0.915424739195231,0.8766666666666667
13,2e-09,8e-08,0.002,4,0.00046846607037337906,2.633267115824415e-10,0.9053651266766021,0.8733333333333333
14,2e-09,8.25e-08,0.002,4,0.0004982026861685643,2.855868052871482e-10,0.8986587183308494,0.86
15,2e-09,8.500000000000001e-08,0.002,4,0.0005288542747574476,3.0947368170578205e-10,0.8964232488822653,0.8533333333333334
16,2e-09,8.75e-08,0.002,4,0.0005604208361400286,3.351367997600625e-10,0.8863636363636364,0.8466666666666667
17,2e-09,9e-08,0.002,4,0.000592902370316308,3.6274576579520353e-10,0.8599105812220567,0.8266666666666667
18,2e-09,9.25e-08,0.002,4,0.0006262988772862852,3.9249377812562796e-10,0.8654992548435171,0.82
19,2e-09,9.499999999999999e-08,0.002,4,0.0006606103570499602,4.2460180746805935e-10,0.8226527570789866,0.76
20,2e-09,9.749999999999999e-08,0.002,4,0.0006958368096073336,4.593237031491856e-10,0.7507451564828614,0.6766666666666666
