Model Number,L,R,I_DC_Vortex,rango_I_in,I_th,T_relax,Accuracy_Train,Accuracy_Test
1,2e-09,5e-08,0.0025,4,0.0001829945587396012,6.799148384723124e-11,0.9280923994038748,0.8833333333333333
2,2e-09,5.25e-08,0.0025,4,0.00020175150101041036,7.557239502524913e-11,0.9284649776453056,0.9066666666666666
3,2e-09,5.4999999999999996e-08,0.0025,4,0.00022142341607491744,8.365719781604028e-11,0.9258569299552906,0.91
4,2e-09,5.75e-08,0.0025,4,0.0002420103039331226,9.226889040374306e-11,0.9310730253353204,0.9166666666666666
5,2e-09,6e-08,0.0025,4,0.0002635121645850257,1.0143259228861791e-10,0.9359165424739195,0.9033333333333333
6,2e-09,6.25e-08,0.0025,4,0.0002859289980306269,1.1117574671645405e-10,0.9336810730253353,0.8866666666666667
7,2e-09,6.5e-08,0.0025,4,0.000309260804269926,1.2152834933312398e-10,0.9295827123695977,0.8833333333333333
8,2e-09,6.75e-08,0.0025,4,0.00033350758330292325,1.325232069141472e-10,0.926602086438152,0.89
9,2e-09,6.999999999999999e-08,0.0025,4,0.00035866933512961833,1.4419623069478662e-10,0.9254843517138599,0.8933333333333333
10,2e-09,7.25e-08,0.0025,4,0.00038474605975001157,1.5658676963678673e-10,0.9157973174366617,0.88
11,2e-09,7.5e-08,0.0025,4,0.0004117377571641027,1.6973798994411634e-10,0.9165424739195231,0.8933333333333333
12,2e-09,7.75e-08,0.0025,4,0.0004396444273718919,1.8369730832065798e-10,0.9083457526080477,0.88
13,2e-09,8e-08,0.0025,4,0.00046846607037337906,1.9851688789644504e-10,0.9061102831594635,0.86
14,2e-09,8.25e-08,0.0025,4,0.0004982026861685643,2.1425420749768075e-10,0.8945603576751118,0.8566666666666667
15,2e-09,8.500000000000001e-08,0.0025,4,0.0005288542747574476,2.3097271707829346e-10,0.8956780923994039,0.8433333333333334
16,2e-09,8.75e-08,0.0025,4,0.0005604208361400286,2.487425947684229e-10,0.8908345752608048,0.8433333333333334
17,2e-09,9e-08,0.0025,4,0.000592902370316308,2.6764162425857756e-10,0.8610283159463488,0.8166666666666667
18,2e-09,9.25e-08,0.0025,4,0.0006262988772862852,2.877562152967249e-10,0.8640089418777943,0.8233333333333334
19,2e-09,9.499999999999999e-08,0.0025,4,0.0006606103570499602,3.0918259515068526e-10,0.8263785394932935,0.7666666666666667
20,2e-09,9.749999999999999e-08,0.0025,4,0.0006958368096073336,3.320282052709653e-10,0.7563338301043219,0.6666666666666666
21,2e-09,1e-07,0.0025,4,0.0007319782349584048,3.5641334546511536e-10,0.7485096870342772,0.6866666666666666
22,3e-09,5e-08,0.0025,4,0.00027449183810940173,1.061802248567629e-10,0.9318181818181818,0.8866666666666667
23,3e-09,5.25e-08,0.0025,4,0.00030262725151561555,1.1856259495683472e-10,0.930327868852459,0.8933333333333333
24,3e-09,5.4999999999999996e-08,0.0025,4,0.0003321351241123761,1.3189428972760783e-10,0.9321907600596125,0.8833333333333333
25,3e-09,5.75e-08,0.0025,4,0.00036301545589968384,1.462403209988277e-10,0.9232488822652757,0.88
26,3e-09,6e-08,0.0025,4,0.00039526824687753854,1.6167339977996346e-10,0.9124441132637854,0.8766666666666667
27,3e-09,6.25e-08,0.0025,4,0.0004288934970459403,1.7827499207025517e-10,0.9120715350223547,0.8866666666666667
28,3e-09,6.5e-08,0.0025,4,0.000463891206404889,1.961365614012916e-10,0.9023845007451565,0.87
29,3e-09,6.75e-08,0.0025,4,0.0005002613749543848,2.1536103710253262e-10,0.9061102831594635,0.8833333333333333
30,3e-09,6.999999999999999e-08,0.0025,4,0.0005380040026944274,2.360645569380693e-10,0.8975409836065574,0.8533333333333334
31,3e-09,7.25e-08,0.0025,4,0.0005771190896250172,2.583785451907981e-10,0.8770491803278688,0.86
32,3e-09,7.5e-08,0.0025,4,0.000617606635746154,2.824522033807151e-10,0.8733233979135618,0.85
33,3e-09,7.75e-08,0.0025,4,0.0006594666410578378,3.0845551185183244e-10,0.8327123695976155,0.79
34,3e-09,8e-08,0.0025,4,0.0007026991055600687,3.3658286818845554e-10,0.819672131147541,0.75
35,3e-09,8.25e-08,0.0025,4,0.0007473040292528465,3.6705752526758094e-10,0.5756333830104322,0.43666666666666665
36,3e-09,8.500000000000001e-08,0.0025,4,0.0007932814121361713,4.001370411800368e-10,0.5283159463487332,0.30666666666666664
37,3e-09,8.75e-08,0.0025,4,0.0008406312542100429,4.361200202197553e-10,0.5242175856929955,0.26
38,3e-09,9e-08,0.0025,4,0.0008893535554744618,4.753545158496143e-10,0.5190014903129657,0.25333333333333335
39,3e-09,9.25e-08,0.0025,4,0.0009394483159294276,5.182485935963464e-10,0.526080476900149,0.26666666666666666
40,3e-09,9.499999999999999e-08,0.0025,4,0.0009909155355749403,5.652837300103561e-10,0.6147540983606558,0.47333333333333333
41,3e-09,9.749999999999999e-08,0.0025,4,0.001043755214411,6.17031977092774e-10,0.5927719821162444,0.53
42,3e-09,1e-07,0.0025,4,0.001097967352437607,6.741781868231104e-10,0.22652757078986588,0.21666666666666667
43,3.9999999999999994e-09,5e-08,0.0025,4,0.00036598911747920225,1.4764370634072234e-10,0.919150521609538,0.89
44,3.9999999999999994e-09,5.25e-08,0.0025,4,0.0004035030020208206,1.656898565552365e-10,0.9217585692995529,0.89
45,3.9999999999999994e-09,5.4999999999999996e-08,0.0025,4,0.0004428468321498347,1.8532342170673196e-10,0.9090909090909091,0.8733333333333333
46,3.9999999999999994e-09,5.75e-08,0.0025,4,0.00048402060786624507,2.0669080707086195e-10,0.8990312965722802,0.8666666666666667
47,3.9999999999999994e-09,6e-08,0.0025,4,0.0005270243291700513,2.2996001635709287e-10,0.8994038748137109,0.87
48,3.9999999999999994e-09,6.25e-08,0.0025,4,0.0005718579960612537,2.5532455226260647e-10,0.8871087928464978,0.8733333333333333
49,3.9999999999999994e-09,6.5e-08,0.0025,4,0.0006185216085398519,2.830082125682395e-10,0.8751862891207154,0.8466666666666667
50,3.9999999999999994e-09,6.75e-08,0.0025,4,0.0006670151666058464,3.1327102939988045e-10,0.8170640834575261,0.7366666666666667
51,3.9999999999999994e-09,6.999999999999999e-08,0.0025,4,0.0007173386702592364,3.4641668094115465e-10,0.7880029806259314,0.7166666666666667
52,3.9999999999999994e-09,7.25e-08,0.0025,4,0.0007694921195000228,3.828018181223586e-10,0.5156482861400894,0.34
53,3.9999999999999994e-09,7.5e-08,0.0025,4,0.0008234755143282052,4.228479078050849e-10,0.5178837555886736,0.27
54,3.9999999999999994e-09,7.75e-08,0.0025,4,0.0008792888547437837,4.670564202425073e-10,0.5182563338301043,0.23333333333333334
55,3.9999999999999994e-09,8e-08,0.0025,4,0.000936932140746758,5.160285153047501e-10,0.5320417287630402,0.25333333333333335
