Model Number,L,R,I_DC_Vortex,rango_I_in,I_th,T_relax,Accuracy_Train,Accuracy_Test
1,2e-09,5e-08,0.004,4,0.0001829945587396012,4.127231162169465e-11,0.9295827123695977,0.8933333333333333
2,2e-09,5.25e-08,0.004,4,0.00020175150101041036,4.5727430282149946e-11,0.9243666169895678,0.91
3,2e-09,5.4999999999999996e-08,0.004,4,0.00022142341607491744,5.0447391441357994e-11,0.9280923994038748,0.92
4,2e-09,5.75e-08,0.004,4,0.0002420103039331226,5.543980176880936e-11,0.9307004470938898,0.9133333333333333
5,2e-09,6e-08,0.004,4,0.0002635121645850257,6.071283214626241e-11,0.9321907600596125,0.89
6,2e-09,6.25e-08,0.004,4,0.0002859289980306269,6.627525343394673e-11,0.9307004470938898,0.88
7,2e-09,6.5e-08,0.004,4,0.000309260804269926,7.213647569150075e-11,0.934053651266766,0.89
8,2e-09,6.75e-08,0.004,4,0.00033350758330292325,7.830659120100353e-11,0.9251117734724292,0.8833333333333333
9,2e-09,6.999999999999999e-08,0.004,4,0.00035866933512961833,8.479642168296779e-11,0.9239940387481371,0.8866666666666667
10,2e-09,7.25e-08,0.004,4,0.00038474605975001157,9.161757014566094e-11,0.9198956780923994,0.8966666666666666
11,2e-09,7.5e-08,0.004,4,0.0004117377571641027,9.878247786455552e-11,0.9198956780923994,0.87
12,2e-09,7.75e-08,0.004,4,0.0004396444273718919,1.063044870532051e-10,0.9098360655737705,0.86
13,2e-09,8e-08,0.004,4,0.00046846607037337906,1.1419790986070224e-10,0.9061102831594635,0.85
14,2e-09,8.25e-08,0.004,4,0.0004982026861685643,1.224781044156646e-10,0.8990312965722802,0.8633333333333333
15,2e-09,8.500000000000001e-08,0.004,4,0.0005288542747574476,1.3116155873424819e-10,0.8986587183308494,0.86
16,2e-09,8.75e-08,0.004,4,0.0005604208361400286,1.4026598342219132e-10,0.8923248882265276,0.8533333333333334
17,2e-09,9e-08,0.004,4,0.000592902370316308,1.4981041423095727e-10,0.8654992548435171,0.81
18,2e-09,9.25e-08,0.004,4,0.0006262988772862852,1.5981532567876953e-10,0.8692250372578242,0.8466666666666667
19,2e-09,9.499999999999999e-08,0.004,4,0.0006606103570499602,1.7030275712246197e-10,0.8207898658718331,0.7433333333333333
20,2e-09,9.749999999999999e-08,0.004,4,0.0006958368096073336,1.8129645287006145e-10,0.7246646795827124,0.62
21,2e-09,1e-07,0.004,4,0.0007319782349584048,1.928220181622911e-10,0.7470193740685543,0.6766666666666666
22,3e-09,5e-08,0.004,4,0.00027449183810940173,6.342891943368774e-11,0.9329359165424739,0.8866666666666667
23,3e-09,5.25e-08,0.004,4,0.00030262725151561555,7.046252376218621e-11,0.9359165424739195,0.8866666666666667
24,3e-09,5.4999999999999996e-08,0.004,4,0.0003321351241123761,7.795516130114582e-11,0.9280923994038748,0.9033333333333333
25,3e-09,5.75e-08,0.004,4,0.00036301545589968384,8.592648715147905e-11,0.9258569299552906,0.9133333333333333
26,3e-09,6e-08,0.004,4,0.00039526824687753854,9.439790848719802e-11,0.9124441132637854,0.8766666666666667
27,3e-09,6.25e-08,0.004,4,0.0004288934970459403,1.0339274258142694e-10,0.9157973174366617,0.8766666666666667
28,3e-09,6.5e-08,0.004,4,0.000463891206404889,1.1293639441694279e-10,0.9020119225037257,0.8566666666666667
29,3e-09,6.75e-08,0.004,4,0.0005002613749543848,1.230565566073389e-10,0.9035022354694486,0.8733333333333333
30,3e-09,6.999999999999999e-08,0.004,4,0.0005380040026944274,1.3378343481005617e-10,0.8941877794336811,0.8466666666666667
31,3e-09,7.25e-08,0.004,4,0.0005771190896250172,1.451500023538408e-10,0.8774217585692996,0.8533333333333334
32,3e-09,7.5e-08,0.004,4,0.000617606635746154,1.5719228844928437e-10,0.8800298062593145,0.8566666666666667
