Model Number,L,R,I_DC_Vortex,rango_I_in,I_th,T_relax,Accuracy_Train,Accuracy_Test
1,2e-09,5e-08,0.003,4,0.0001829945587396012,5.592344115704563e-11,0.9258569299552906,0.9066666666666666
2,2e-09,5.25e-08,0.003,4,0.00020175150101041036,6.20688775477025e-11,0.9318181818181818,0.9133333333333333
3,2e-09,5.4999999999999996e-08,0.003,4,0.00022142341607491744,6.86032312815163e-11,0.930327868852459,0.9033333333333333
4,2e-09,5.75e-08,0.003,4,0.0002420103039331226,7.554132783610074e-11,0.9355439642324889,0.8933333333333333
5,2e-09,6e-08,0.003,4,0.0002635121645850257,8.289923888285791e-11,0.9347988077496274,0.9033333333333333
6,2e-09,6.25e-08,0.003,4,0.0002859289980306269,9.06943837315168e-11,0.930327868852459,0.8966666666666666
7,2e-09,6.5e-08,0.003,4,0.000309260804269926,9.89456424089492e-11,0.934053651266766,0.8866666666666667
8,2e-09,6.75e-08,0.003,4,0.00033350758330292325,1.076734818438054e-10,0.9325633383010432,0.8833333333333333
9,2e-09,6.999999999999999e-08,0.003,4,0.00035866933512961833,1.1690009685350122e-10,0.9232488822652757,0.8833333333333333
10,2e-09,7.25e-08,0.003,4,0.00038474605975001157,1.2664956789380441e-10,0.9198956780923994,0.8933333333333333
11,2e-09,7.5e-08,0.003,4,0.0004117377571641027,1.3694803784132276e-10,0.919150521609538,0.8833333333333333
12,2e-09,7.75e-08,0.003,4,0.0004396444273718919,1.4782391044488954e-10,0.907973174366617,0.8533333333333334
13,2e-09,8e-08,0.003,4,0.00046846607037337906,1.593080735145409e-10,0.9102086438152012,0.8566666666666667
14,2e-09,8.25e-08,0.003,4,0.0004982026861685643,1.7143415043047655e-10,0.8979135618479881,0.8466666666666667
15,2e-09,8.500000000000001e-08,0.003,4,0.0005288542747574476,1.8423878416633969e-10,0.8997764530551415,0.8566666666666667
16,2e-09,8.75e-08,0.003,4,0.0005604208361400286,1.977619587527309e-10,0.8871087928464978,0.8533333333333334
17,2e-09,9e-08,0.003,4,0.000592902370316308,2.1204736398469174e-10,0.8647540983606558,0.83
18,2e-09,9.25e-08,0.003,4,0.0006262988772862852,2.2714281023422274e-10,0.8688524590163934,0.8366666666666667
19,2e-09,9.499999999999999e-08,0.003,4,0.0006606103570499602,2.431007015075218e-10,0.8349478390461997,0.7733333333333333
20,2e-09,9.749999999999999e-08,0.003,4,0.0006958368096073336,2.5997857643925433e-10,0.7134873323397913,0.6233333333333333
21,2e-09,1e-07,0.003,4,0.0007319782349584048,2.77839728809682e-10,0.7712369597615499,0.7133333333333334
22,3e-09,5e-08,0.003,4,0.00027449183810940173,8.670124725885524e-11,0.9310730253353204,0.8933333333333333
23,3e-09,5.25e-08,0.003,4,0.00030262725151561555,9.658517358942203e-11,0.9292101341281669,0.9
24,3e-09,5.4999999999999996e-08,0.003,4,0.0003321351241123761,1.0717521738633616e-10,0.930327868852459,0.8733333333333333
25,3e-09,5.75e-08,0.003,4,0.00036301545589968384,1.1851161827927463e-10,0.9236214605067065,0.8866666666666667
26,3e-09,6e-08,0.003,4,0.00039526824687753854,1.3063884131033312e-10,0.9139344262295082,0.87
27,3e-09,6.25e-08,0.003,4,0.0004288934970459403,1.4360606803590904e-10,0.912816691505216,0.8733333333333333
28,3e-09,6.5e-08,0.003,4,0.000463891206404889,1.5746776259095857e-10,0.9038748137108793,0.87
29,3e-09,6.75e-08,0.003,4,0.0005002613749543848,1.722843260126676e-10,0.9057377049180327,0.89
30,3e-09,6.999999999999999e-08,0.003,4,0.0005380040026944274,1.8812285492140884e-10,0.9001490312965723,0.85
31,3e-09,7.25e-08,0.003,4,0.0005771190896250172,2.0505802413580133e-10,0.8770491803278688,0.8466666666666667
32,3e-09,7.5e-08,0.003,4,0.000617606635746154,2.2317311714359039e-10,0.8718330849478391,0.85
33,3e-09,7.75e-08,0.003,4,0.0006594666410578378,2.425612338076085e-10,0.8330849478390462,0.7866666666666666
34,3e-09,8e-08,0.003,4,0.0007026991055600687,2.633267115824415e-10,0.8263785394932935,0.7566666666666667
35,3e-09,8.25e-08,0.003,4,0.0007473040292528465,2.855868052871482e-10,0.6758569299552906,0.5533333333333333
36,3e-09,8.500000000000001e-08,0.003,4,0.0007932814121361713,3.0947368170578195e-10,0.5331594634873323,0.29333333333333333
37,3e-09,8.75e-08,0.003,4,0.0008406312542100429,3.351367997600625e-10,0.5182563338301043,0.33666666666666667
38,3e-09,9e-08,0.003,4,0.0008893535554744618,3.627457657952035e-10,0.4936661698956781,0.24333333333333335
39,3e-09,9.25e-08,0.003,4,0.0009394483159294276,3.924937781256279e-10,0.5242175856929955,0.27
40,3e-09,9.499999999999999e-08,0.003,4,0.0009909155355749403,4.2460180746805935e-10,0.610655737704918,0.47333333333333333
41,3e-09,9.749999999999999e-08,0.003,4,0.001043755214411,4.5932370314918533e-10,0.5905365126676602,0.46
42,3e-09,1e-07,0.003,4,0.001097967352437607,4.969524731406656e-10,0.22988077496274217,0.20333333333333334
43,3.9999999999999994e-09,5e-08,0.003,4,0.00036598911747920225,1.1961730232688917e-10,0.922876304023845,0.89
44,3.9999999999999994e-09,5.25e-08,0.003,4,0.0004035030020208206,1.337834348100562e-10,0.9251117734724292,0.88
45,3.9999999999999994e-09,5.4999999999999996e-08,0.003,4,0.0004428468321498347,1.490871445770096e-10,0.9113263785394933,0.89
46,3.9999999999999994e-09,5.75e-08,0.003,4,0.00048402060786624507,1.6561519100717645e-10,0.9020119225037257,0.8566666666666667
47,3.9999999999999994e-09,6e-08,0.003,4,0.0005270243291700513,1.8346541896384056e-10,0.9031296572280179,0.8566666666666667
48,3.9999999999999994e-09,6.25e-08,0.003,4,0.0005718579960612537,2.027484360699706e-10,0.8785394932935916,0.84
49,3.9999999999999994e-09,6.5e-08,0.003,4,0.0006185216085398519,2.2358961494772536e-10,0.8740685543964233,0.8433333333333334
