Model Number,L,R,I_DC_Vortex,rango_I_in,I_th,T_relax,Accuracy_Train,Accuracy_Test
1,2e-09,5e-08,0.00025,4,0.0001829945587396012,2.351102165288026e-09,0.9269746646795827,0.9
2,2e-09,5.25e-08,0.00025,4,0.00020175150101041036,3.599783352209613e-09,0.9273472429210134,0.9166666666666666
3,2e-09,5.4999999999999996e-08,0.00025,4,0.00022142341607491744,6.670473018053962e-09,0.9284649776453056,0.9066666666666666
4,2e-09,5.75e-08,0.00025,4,0.0002420103039331226,2.6076361610661512e-08,0.9318181818181818,0.8866666666666667
5,2e-09,6e-08,0.00025,4,0.0002635121645850257,-1.678878001674882e-08,0.10022354694485842,0.1
6,2e-09,6.25e-08,0.00025,4,0.0002859289980306269,-6.8510398402250585e-09,0.10022354694485842,0.1
7,2e-09,6.5e-08,0.00025,4,0.000309260804269926,-4.492630863796137e-09,0.10022354694485842,0.1
8,2e-09,6.75e-08,0.00025,4,0.00033350758330292325,-3.438137130305709e-09,0.10022354694485842,0.1
9,2e-09,6.999999999999999e-08,0.00025,4,0.00035866933512961833,-2.8413886049562592e-09,0.10022354694485842,0.1
10,2e-09,7.25e-08,0.00025,4,0.00038474605975001157,-2.4581110726334394e-09,0.10022354694485842,0.1
11,2e-09,7.5e-08,0.00025,4,0.0004117377571641027,-2.1915565158698037e-09,0.10022354694485842,0.1
12,2e-09,7.75e-08,0.00025,4,0.0004396444273718919,-1.995744236307299e-09,0.10022354694485842,0.1
13,2e-09,8e-08,0.00025,4,0.00046846607037337906,-1.846024843474528e-09,0.10022354694485842,0.1
14,2e-09,8.25e-08,0.00025,4,0.0004982026861685643,-1.727996999817568e-09,0.10022354694485842,0.1
15,2e-09,8.500000000000001e-08,0.00025,4,0.0005288542747574476,-1.6326838966788192e-09,0.10022354694485842,0.1
16,2e-09,8.75e-08,0.00025,4,0.0005604208361400286,-1.5541996470870437e-09,0.10022354694485842,0.1
17,2e-09,9e-08,0.00025,4,0.000592902370316308,-1.4885248730050898e-09,0.10022354694485842,0.1
18,2e-09,9.25e-08,0.00025,4,0.0006262988772862852,-1.4328215581125084e-09,0.10022354694485842,0.1
19,2e-09,9.499999999999999e-08,0.00025,4,0.0006606103570499602,-1.3850290269989206e-09,0.10022354694485842,0.1
20,2e-09,9.749999999999999e-08,0.00025,4,0.0006958368096073336,-1.3436150923689063e-09,0.10022354694485842,0.1
21,2e-09,1e-07,0.00025,4,0.0007319782349584048,-1.3074170292938545e-09,0.10022354694485842,0.1
22,3e-09,5e-08,0.00025,4,0.00027449183810940173,-9.648314511739075e-09,0.10022354694485842,0.1
23,3e-09,5.25e-08,0.00025,4,0.00030262725151561555,-4.950405116072562e-09,0.10022354694485842,0.1
24,3e-09,5.4999999999999996e-08,0.00025,4,0.0003321351241123761,-3.4812024833544157e-09,0.10022354694485842,0.1
25,3e-09,5.75e-08,0.00025,4,0.00036301545589968384,-2.765226253444136e-09,0.10022354694485842,0.1
26,3e-09,6e-08,0.00025,4,0.00039526824687753854,-2.3424192517378358e-09,0.10022354694485842,0.1
27,3e-09,6.25e-08,0.00025,4,0.0004288934970459403,-2.0639458755505834e-09,0.10022354694485842,0.1
28,3e-09,6.5e-08,0.00025,4,0.000463891206404889,-1.86709582000632e-09,0.10022354694485842,0.1
29,3e-09,6.75e-08,0.00025,4,0.0005002613749543848,-1.7208639739245172e-09,0.10022354694485842,0.1
30,3e-09,6.999999999999999e-08,0.00025,4,0.0005380040026944274,-1.6081641625988667e-09,0.10022354694485842,0.1
31,3e-09,7.25e-08,0.00025,4,0.0005771190896250172,-1.5188082504367827e-09,0.10022354694485842,0.1
32,3e-09,7.5e-08,0.00025,4,0.000617606635746154,-1.4463453639337594e-09,0.10022354694485842,0.1
33,3e-09,7.75e-08,0.00025,4,0.0006594666410578378,-1.386493067777615e-09,0.10022354694485842,0.1
34,3e-09,8e-08,0.00025,4,0.0007026991055600687,-1.3362975155425813e-09,0.10022354694485842,0.1
35,3e-09,8.25e-08,0.00025,4,0.0007473040292528465,-1.2936558075659876e-09,0.10022354694485842,0.1
36,3e-09,8.500000000000001e-08,0.00025,4,0.0007932814121361713,-1.257030538169106e-09,0.10022354694485842,0.1
37,3e-09,8.75e-08,0.00025,4,0.0008406312542100429,-1.2252719879070037e-09,0.10022354694485842,0.1
38,3e-09,9e-08,0.00025,4,0.0008893535554744618,-1.197503406818736e-09,0.10022354694485842,0.1
39,3e-09,9.25e-08,0.00025,4,0.0009394483159294276,-1.1730447327494357e-09,0.10022354694485842,0.1
40,3e-09,9.499999999999999e-08,0.00025,4,0.0009909155355749403,-1.1513605181580043e-09,0.10022354694485842,0.1
41,3e-09,9.749999999999999e-08,0.00025,4,0.001043755214411,-1.1320235544528492e-09,0.10022354694485842,0.1
42,3e-09,1e-07,0.00025,4,0.001097967352437607,-1.1146889387701613e-09,0.10022354694485842,0.1
43,3.9999999999999994e-09,5e-08,0.00025,4,0.00036598911747920225,-2.7164037705804722e-09,0.10022354694485842,0.1
44,3.9999999999999994e-09,5.25e-08,0.00025,4,0.0004035030020208206,-2.262941325515825e-09,0.10022354694485842,0.1
45,3.9999999999999994e-09,5.4999999999999996e-08,0.00025,4,0.0004428468321498347,-1.9768987635981893e-09,0.10022354694485842,0.1
46,3.9999999999999994e-09,5.75e-08,0.00025,4,0.00048402060786624507,-1.7805457878158677e-09,0.10022354694485842,0.1
47,3.9999999999999994e-09,6e-08,0.00025,4,0.0005270243291700513,-1.6377822081384567e-09,0.10022354694485842,0.1
48,3.9999999999999994e-09,6.25e-08,0.00025,4,0.0005718579960612537,-1.5295627260436115e-09,0.10022354694485842,0.1
49,3.9999999999999994e-09,6.5e-08,0.00025,4,0.0006185216085398519,-1.4448917626910914e-09,0.10022354694485842,0.1
50,3.9999999999999994e-09,6.75e-08,0.00025,4,0.0006670151666058464,-1.3769788046450025e-09,0.10022354694485842,0.1
51,3.9999999999999994e-09,6.999999999999999e-08,0.00025,4,0.0007173386702592364,-1.3214049262141826e-09,0.10022354694485842,0.1
52,3.9999999999999994e-09,7.25e-08,0.00025,4,0.0007694921195000228,-1.275171534012907e-09,0.10022354694485842,0.1
53,3.9999999999999994e-09,7.5e-08,0.00025,4,0.0008234755143282052,-1.2361728677828014e-09,0.10022354694485842,0.1
54,3.9999999999999994e-09,7.75e-08,0.00025,4,0.0008792888547437837,-1.2028872592359862e-09,0.10022354694485842,0.1
55,3.9999999999999994e-09,8e-08,0.00025,4,0.000936932140746758,-1.1741881604989253e-09,0.10022354694485842,0.1
56,3.9999999999999994e-09,8.25e-08,0.00025,4,0.0009964053723371283,-1.1492240354674788e-09,0.10022354694485842,0.1
57,3.9999999999999994e-09,8.500000000000001e-08,0.00025,4,0.0010577085495148948,-1.127339519161892e-09,0.10022354694485842,0.1
58,3.9999999999999994e-09,8.75e-08,0.00025,4,0.0011208416722800572,-1.1080222027366248e-09,0.10022354694485842,0.1
59,3.9999999999999994e-09,9e-08,0.00025,4,0.0011858047406326157,-1.0908658293036155e-09,0.10022354694485842,0.1
60,3.9999999999999994e-09,9.25e-08,0.00025,4,0.00125259775457257,-1.075544287248444e-09,0.10022354694485842,0.1
61,3.9999999999999994e-09,9.499999999999999e-08,0.00025,4,0.0013212207140999202,-1.0617928794971721e-09,0.10022354694485842,0.1
62,3.9999999999999994e-09,9.749999999999999e-08,0.00025,4,0.0013916736192146667,-1.04939460111915e-09,0.10022354694485842,0.1
63,3.9999999999999994e-09,1e-07,0.00025,4,0.001463956469916809,-1.038169930717196e-09,0.10022354694485842,0.1
64,5e-09,5e-08,0.00025,4,0.0004574863968490029,-1.898156221634733e-09,0.10022354694485842,0.1
65,5e-09,5.25e-08,0.00025,4,0.0005043787525260259,-1.7069442878691023e-09,0.10022354694485842,0.1
66,5e-09,5.4999999999999996e-08,0.00025,4,0.0005535585401872934,-1.5698729139922003e-09,0.10022354694485842,0.1
67,5e-09,5.75e-08,0.00025,4,0.0006050257598328064,-1.4670921618285612e-09,0.10022354694485842,0.1
68,5e-09,6e-08,0.00025,4,0.0006587804114625642,-1.3873754245980773e-09,0.10022354694485842,0.1
69,5e-09,6.25e-08,0.00025,4,0.000714822495076567,-1.323897829464158e-09,0.10022354694485842,0.1
70,5e-09,6.5e-08,0.00025,4,0.000773152010674815,-1.2722732248177345e-09,0.10022354694485842,0.1
71,5e-09,6.75e-08,0.00025,4,0.000833768958257308,-1.229555454922492e-09,0.10022354694485842,0.1
72,5e-09,6.999999999999999e-08,0.00025,4,0.0008966733378240456,-1.1936931387353895e-09,0.10022354694485842,0.1
73,5e-09,7.25e-08,0.00025,4,0.0009618651493750286,-1.1632146262393258e-09,0.10022354694485842,0.1
74,5e-09,7.5e-08,0.00025,4,0.0010293443929102566,-1.1370372289827135e-09,0.10022354694485842,0.1
75,5e-09,7.75e-08,0.00025,4,0.0010991110684297296,-1.1143470711528405e-09,0.10022354694485842,0.1
76,5e-09,8e-08,0.00025,4,0.0011711651759334476,-1.0945208413812463e-09,0.10022354694485842,0.1
77,5e-09,8.25e-08,0.00025,4,0.0012455067154214109,-1.0770733396418735e-09,0.10022354694485842,0.1
78,5e-09,8.500000000000001e-08,0.00025,4,0.0013221356868936187,-1.0616214194764282e-09,0.10022354694485842,0.1
79,5e-09,8.75e-08,0.00025,4,0.0014010520903500715,-1.0478586460638963e-09,0.10022354694485842,0.1
80,5e-09,9e-08,0.00025,4,0.0014822559257907696,-1.0355371326388186e-09,0.10022354694485842,0.1
81,5e-09,9.25e-08,0.00025,4,0.0015657471932157129,-1.0244542919213499e-09,0.10022354694485842,0.1
82,5e-09,9.499999999999999e-08,0.00025,4,0.0016515258926249007,-1.014443019378438e-09,0.10022354694485842,0.1
83,5e-09,9.749999999999999e-08,0.00025,4,0.0017395920240183336,-1.0053643153010115e-09,0.10022354694485842,0.1
84,5e-09,1e-07,0.00025,4,0.0018299455873960115,-9.971016678684951e-10,0.10022354694485842,0.1
85,5.999999999999999e-09,5e-08,0.00025,4,0.0005489836762188035,-1.5807214630485123e-09,0.10022354694485842,0.1
86,5.999999999999999e-09,5.25e-08,0.00025,4,0.0006052545030312309,-1.4667018316434255e-09,0.10022354694485842,0.1
87,5.999999999999999e-09,5.4999999999999996e-08,0.00025,4,0.0006642702482247521,-1.3803984199005434e-09,0.10022354694485842,0.1
88,5.999999999999999e-09,5.75e-08,0.00025,4,0.0007260309117993676,-1.3129958494396197e-09,0.10022354694485842,0.1
89,5.999999999999999e-09,6e-08,0.00025,4,0.0007905364937550769,-1.2590422370495312e-09,0.10022354694485842,0.1
90,5.999999999999999e-09,6.25e-08,0.00025,4,0.0008577869940918806,-1.2149864968481773e-09,0.10022354694485842,0.1
91,5.999999999999999e-09,6.5e-08,0.00025,4,0.0009277824128097778,-1.1784176451529078e-09,0.10022354694485842,0.1
92,5.999999999999999e-09,6.75e-08,0.00025,4,0.0010005227499087694,-1.147642184800304e-09,0.10022354694485842,0.1
93,5.999999999999999e-09,6.999999999999999e-08,0.00025,4,0.0010760080053888546,-1.1214363851114677e-09,0.10022354694485842,0.1
94,5.999999999999999e-09,7.25e-08,0.00025,4,0.0011542381792500342,-1.0988944806774516e-09,0.10022354694485842,0.1
95,5.999999999999999e-09,7.5e-08,0.00025,4,0.0012352132714923078,-1.0793320974196542e-09,0.10022354694485842,0.1
96,5.999999999999999e-09,7.75e-08,0.00025,4,0.0013189332821156754,-1.0622228137367332e-09,0.10022354694485842,0.1
97,5.999999999999999e-09,8e-08,0.00025,4,0.001405398211120137,-1.0471553170604096e-09,0.10022354694485842,0.1
98,5.999999999999999e-09,8.25e-08,0.00025,4,0.0014946080585056926,-1.0338037604244999e-09,0.10022354694485842,0.1
99,5.999999999999999e-09,8.500000000000001e-08,0.00025,4,0.0015865628242723424,-1.021906809725315e-09,0.10022354694485842,0.1
100,5.999999999999999e-09,8.75e-08,0.00025,4,0.0016812625084200855,-1.011252550400125e-09,0.10022354694485842,0.1
101,5.999999999999999e-09,9e-08,0.00025,4,0.0017787071109489233,-1.0016674291088854e-09,0.10022354694485842,0.1
102,5.999999999999999e-09,9.25e-08,0.00025,4,0.0018788966318588549,-9.93008027257144e-10,0.10022354694485842,0.1
103,5.999999999999999e-09,9.499999999999999e-08,0.00025,4,0.00198183107114988,-9.851548562233305e-10,0.10022354694485842,0.1
104,5.999999999999999e-09,9.749999999999999e-08,0.00025,4,0.002087510428822,-9.78007618448261e-10,0.10022354694485842,0.1
105,5.999999999999999e-09,1e-07,0.00025,4,0.002195934704875214,-9.714815464592202e-10,0.10022354694485842,0.1
106,7e-09,5e-08,0.00025,4,0.000640480955588604,-1.4120489750537862e-09,0.10022354694485842,0.1
107,7e-09,5.25e-08,0.00025,4,0.0007061302535364361,-1.3327212946265046e-09,0.10022354694485842,0.1
108,7e-09,5.4999999999999996e-08,0.00025,4,0.000774981956262211,-1.2708392243070442e-09,0.10022354694485842,0.1
109,7e-09,5.75e-08,0.00025,4,0.0008470360637659291,-1.2213629252101613e-09,0.10022354694485842,0.1
