Model Number,L,R,I_DC_Vortex,rango_I_in,I_th,T_relax,Accuracy_Train,Accuracy_Test
1,2e-09,5e-08,0.00325,4,0.0001829945587396012,5.1364968550125206e-11,0.9344262295081968,0.9033333333333333
2,2e-09,5.25e-08,0.00325,4,0.00020175150101041036,5.697834132925798e-11,0.9273472429210134,0.9033333333333333
3,2e-09,5.4999999999999996e-08,0.00325,4,0.00022142341607491744,6.294023833908546e-11,0.9299552906110283,0.9
4,2e-09,5.75e-08,0.00325,4,0.0002420103039331226,6.926293799197366e-11,0.9370342771982116,0.9066666666666666
5,2e-09,6e-08,0.00325,4,0.0002635121645850257,7.595971297052994e-11,0.9299552906110283,0.8966666666666666
6,2e-09,6.25e-08,0.00325,4,0.0002859289980306269,8.304490572717261e-11,0.9329359165424739,0.9033333333333333
7,2e-09,6.5e-08,0.00325,4,0.000309260804269926,9.0534012218093e-11,0.9362891207153502,0.8866666666666667
8,2e-09,6.75e-08,0.00325,4,0.00033350758330292325,9.844377484822324e-11,0.9314456035767511,0.8866666666666667
9,2e-09,6.999999999999999e-08,0.00325,4,0.00035866933512961833,1.0679228574477581e-10,0.9221311475409836,0.8766666666666667
10,2e-09,7.25e-08,0.00325,4,0.00038474605975001157,1.155991016406497e-10,0.9146795827123696,0.88
11,2e-09,7.5e-08,0.00325,4,0.0004117377571641027,1.2488537183970544e-10,0.9176602086438153,0.8766666666666667
12,2e-09,7.75e-08,0.00325,4,0.0004396444273718919,1.3467398095868474e-10,0.9135618479880775,0.8633333333333333
13,2e-09,8e-08,0.00325,4,0.00046846607037337906,1.4498970840152525e-10,0.9046199701937406,0.87
14,2e-09,8.25e-08,0.00325,4,0.0004982026861685643,1.5585940682846848e-10,0.8971684053651267,0.8466666666666667
15,2e-09,8.500000000000001e-08,0.00325,4,0.0005288542747574476,1.6731220224376393e-10,0.900521609538003,0.86
16,2e-09,8.75e-08,0.00325,4,0.0005604208361400286,1.7937971875306206e-10,0.8915797317436661,0.8366666666666667
17,2e-09,9e-08,0.00325,4,0.000592902370316308,1.920963315484152e-10,0.8736959761549925,0.8466666666666667
18,2e-09,9.25e-08,0.00325,4,0.0006262988772862852,2.0549945228199467e-10,0.8614008941877794,0.8333333333333334
19,2e-09,9.499999999999999e-08,0.00325,4,0.0006606103570499602,2.1962985171002262e-10,0.8245156482861401,0.7566666666666667
20,2e-09,9.749999999999999e-08,0.00325,4,0.0006958368096073336,2.345320253518817e-10,0.7600596125186289,0.6833333333333333
21,2e-09,1e-07,0.00325,4,0.0007319782349584048,2.5025460894822874e-10,0.7514903129657228,0.6466666666666666
22,3e-09,5e-08,0.00325,4,0.00027449183810940173,7.941667244493788e-11,0.9299552906110283,0.89
23,3e-09,5.25e-08,0.00325,4,0.00030262725151561555,8.839269321524062e-11,0.9347988077496274,0.89
