Model Number,L,R,I_DC_Vortex,rango_I_in,I_th,T_relax,Accuracy_Train,Accuracy_Test
1,2e-09,5e-08,0.00225,4,0.0001829945587396012,7.621491210847616e-11,0.9288375558867362,0.91
2,2e-09,5.25e-08,0.00225,4,0.00020175150101041036,8.479642168296783e-11,0.926602086438152,0.9166666666666666
3,2e-09,5.4999999999999996e-08,0.00225,4,0.00022142341607491744,9.396703754294038e-11,0.9284649776453056,0.88
4,2e-09,5.75e-08,0.00225,4,0.0002420103039331226,1.0375661001013267e-10,0.9307004470938898,0.9
5,2e-09,6e-08,0.00225,4,0.0002635121645850257,1.1419790986070224e-10,0.930327868852459,0.8933333333333333
6,2e-09,6.25e-08,0.00225,4,0.0002859289980306269,1.2532693404687366e-10,0.930327868852459,0.89
7,2e-09,6.5e-08,0.00225,4,0.000309260804269926,1.3718325412410585e-10,0.9347988077496274,0.9066666666666666
8,2e-09,6.75e-08,0.00225,4,0.00033350758330292325,1.498104142309573e-10,0.930327868852459,0.8866666666666667
9,2e-09,6.999999999999999e-08,0.00225,4,0.00035866933512961833,1.632563867760434e-10,0.9210134128166915,0.8833333333333333
10,2e-09,7.25e-08,0.00225,4,0.00038474605975001157,1.7757409557909256e-10,0.9172876304023845,0.8866666666666667
11,2e-09,7.5e-08,0.00225,4,0.0004117377571641027,1.9282201816229113e-10,0.9213859910581222,0.89
12,2e-09,7.75e-08,0.00225,4,0.0004396444273718919,2.0906488128506507e-10,0.9109538002980626,0.87
13,2e-09,8e-08,0.00225,4,0.00046846607037337906,2.2637446677764702e-10,0.9035022354694486,0.8366666666666667
14,2e-09,8.25e-08,0.00225,4,0.0004982026861685643,2.4483054840853024e-10,0.8964232488822653,0.85
15,2e-09,8.500000000000001e-08,0.00225,4,0.0005288542747574476,2.645219851168472e-10,0.8964232488822653,0.85
16,2e-09,8.75e-08,0.00225,4,0.0005604208361400286,2.8554800171368734e-10,0.8915797317436661,0.8466666666666667
17,2e-09,9e-08,0.00225,4,0.000592902370316308,3.0801969545129084e-10,0.8614008941877794,0.83
18,2e-09,9.25e-08,0.00225,4,0.0006262988772862852,3.3206181613534996e-10,0.8662444113263785,0.8333333333333334
