Model Number,L,R,I_DC_Vortex,rango_I_in,I_th,T_relax,Accuracy_Train,Accuracy_Test
1,2e-09,5e-08,0.00275,4,0.0001829945587396012,6.136981071456275e-11,0.9258569299552906,0.92
2,2e-09,5.25e-08,0.00275,4,0.00020175150101041036,6.81582441825022e-11,0.926602086438152,0.9133333333333333
3,2e-09,5.4999999999999996e-08,0.00275,4,0.00022142341607491744,7.538602280517902e-11,0.9344262295081968,0.9033333333333333
4,2e-09,5.75e-08,0.00275,4,0.0002420103039331226,8.30713954391064e-11,0.9310730253353204,0.9066666666666666
5,2e-09,6e-08,0.00275,4,0.0002635121645850257,9.123421218356406e-11,0.9336810730253353,0.8733333333333333
6,2e-09,6.25e-08,0.00275,4,0.0002859289980306269,9.98960649796455e-11,0.9292101341281669,0.8933333333333333
7,2e-09,6.5e-08,0.00275,4,0.000309260804269926,1.0908044527748683e-10,0.926602086438152,0.8766666666666667
8,2e-09,6.75e-08,0.00275,4,0.00033350758330292325,1.188129210884541e-10,0.9251117734724292,0.8866666666666667
9,2e-09,6.999999999999999e-08,0.00275,4,0.00035866933512961833,1.2912133611693843e-10,0.9269746646795827,0.9
10,2e-09,7.25e-08,0.00275,4,0.00038474605975001157,1.4003603411404656e-10,0.9135618479880775,0.8866666666666667
11,2e-09,7.5e-08,0.00275,4,0.0004117377571641027,1.5159011212757018e-10,0.9206408345752608,0.89
12,2e-09,7.75e-08,0.00275,4,0.0004396444273718919,1.6381970695736479e-10,0.9083457526080477,0.8766666666666667
13,2e-09,8e-08,0.00275,4,0.00046846607037337906,1.767643198852241e-10,0.9035022354694486,0.8566666666666667
14,2e-09,8.25e-08,0.00275,4,0.0004982026861685643,1.9046718566165163e-10,0.8960506706408345,0.87
15,2e-09,8.500000000000001e-08,0.00275,4,0.0005288542747574476,2.0497569283384965e-10,0.9008941877794336,0.8433333333333334
16,2e-09,8.75e-08,0.00275,4,0.0005604208361400286,2.2034186383413705e-10,0.8919523099850969,0.8433333333333334
17,2e-09,9e-08,0.00275,4,0.000592902370316308,2.366229048719841e-10,0.8640089418777943,0.8266666666666667
18,2e-09,9.25e-08,0.00275,4,0.0006262988772862852,2.5388183765725e-10,0.8625186289120715,0.82
19,2e-09,9.499999999999999e-08,0.00275,4,0.0006606103570499602,2.721882274182328e-10,0.8338301043219076,0.7666666666666667
20,2e-09,9.749999999999999e-08,0.00275,4,0.0006958368096073336,2.9161902468299365e-10,0.753725782414307,0.7
21,2e-09,1e-07,0.00275,4,0.0007319782349584048,3.122595420176871e-10,0.7563338301043219,0.6733333333333333
22,3e-09,5e-08,0.00275,4,0.00027449183810940173,9.54571512580406e-11,0.934053651266766,0.8833333333333333
23,3e-09,5.25e-08,0.00275,4,0.00030262725151561555,1.0645138355368224e-10,0.9280923994038748,0.88
24,3e-09,5.4999999999999996e-08,0.00275,4,0.0003321351241123761,1.182568144655558e-10,0.9273472429210134,0.88
25,3e-09,5.75e-08,0.00275,4,0.00036301545589968384,1.309238915983655e-10,0.9225037257824144,0.8533333333333334
26,3e-09,6e-08,0.00275,4,0.00039526824687753854,1.4450866333327708e-10,0.912816691505216,0.8833333333333333
27,3e-09,6.25e-08,0.00275,4,0.0004288934970459403,1.590734828069614e-10,0.915424739195231,0.8933333333333333
28,3e-09,6.5e-08,0.00275,4,0.000463891206404889,1.7468782698948251e-10,0.9061102831594635,0.88
29,3e-09,6.75e-08,0.00275,4,0.0005002613749543848,1.9142925290491653e-10,0.9076005961251863,0.8766666666666667
30,3e-09,6.999999999999999e-08,0.00275,4,0.0005380040026944274,2.0938451804721928e-10,0.8964232488822653,0.8533333333333334
31,3e-09,7.25e-08,0.00275,4,0.0005771190896250172,2.2865089836520556e-10,0.8718330849478391,0.8433333333333334
32,3e-09,7.5e-08,0.00275,4,0.000617606635746154,2.4933774521887067e-10,0.8722056631892697,0.8533333333333334
33,3e-09,7.75e-08,0.00275,4,0.0006594666410578378,2.715683329732429e-10,0.8248882265275708,0.7666666666666667
34,3e-09,8e-08,0.00275,4,0.0007026991055600687,2.954820621097608e-10,0.8248882265275708,0.7433333333333333
35,3e-09,8.25e-08,0.00275,4,0.0007473040292528465,3.212370998723772e-10,0.6385991058122206,0.5266666666666666
36,3e-09,8.500000000000001e-08,0.00275,4,0.0007932814121361713,3.4901356286514153e-10,0.522354694485842,0.25666666666666665
37,3e-09,8.75e-08,0.00275,4,0.0008406312542100429,3.790173755392329e-10,0.5093144560357675,0.3233333333333333
38,3e-09,9e-08,0.00275,4,0.0008893535554744618,4.1148497775867034e-10,0.5350223546944859,0.25333333333333335
39,3e-09,9.25e-08,0.00275,4,0.0009394483159294276,4.466891073143539e-10,0.5357675111773472,0.21
40,3e-09,9.499999999999999e-08,0.00275,4,0.0009909155355749403,4.849459546729006e-10,0.6151266766020864,0.4633333333333333
41,3e-09,9.749999999999999e-08,0.00275,4,0.001043755214411,5.266240851091257e-10,0.584575260804769,0.5233333333333333
42,3e-09,1e-07,0.00275,4,0.001097967352437607,5.721556590271446e-10,0.28949329359165427,0.25666666666666665
43,3.9999999999999994e-09,5e-08,0.00275,4,0.00036598911747920225,1.3216100579778196e-10,0.9150521609538003,0.89
44,3.9999999999999994e-09,5.25e-08,0.00275,4,0.0004035030020208206,1.4803696197472672e-10,0.9202682563338301,0.8833333333333333
45,3.9999999999999994e-09,5.4999999999999996e-08,0.00275,4,0.0004428468321498347,1.6524202612697745e-10,0.912816691505216,0.8866666666666667
46,3.9999999999999994e-09,5.75e-08,0.00275,4,0.00048402060786624507,1.8388711258577758e-10,0.9016393442622951,0.86
47,3.9999999999999994e-09,6e-08,0.00275,4,0.0005270243291700513,2.0409828298607074e-10,0.8975409836065574,0.86
48,3.9999999999999994e-09,6.25e-08,0.00275,4,0.0005718579960612537,2.2601923702134793e-10,0.8777943368107303,0.85
49,3.9999999999999994e-09,6.5e-08,0.00275,4,0.0006185216085398519,2.4981432544016413e-10,0.8804023845007451,0.8666666666666667
50,3.9999999999999994e-09,6.75e-08,0.00275,4,0.0006670151666058464,2.7567221634354437e-10,0.8152011922503726,0.7366666666666667
